index,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
0,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,manual,First Owner,23.4,1248.0,74.0,5.0,11,19230.76923076923
1,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,manual,Second Owner,21.14,1498.0,103.52,5.0,11,17502.365184484388
2,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,manual,Third Owner,17.7,1497.0,78.0,5.0,19,8926.553672316384
3,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,manual,First Owner,23.0,1396.0,90.0,5.0,15,9782.608695652174
4,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,manual,First Owner,16.1,1298.0,88.2,5.0,18,8074.534161490683
5,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,manual,First Owner,20.14,1197.0,81.86,5.0,8,21847.070506454816
6,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,manual,First Owner,17.3,1061.0,57.5,5.0,18,5549.132947976878
7,Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,manual,Second Owner,16.1,796.0,37.0,4.0,24,2795.0310559006207
8,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,manual,First Owner,23.59,1364.0,67.1,5.0,14,14836.79525222552
9,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,manual,First Owner,20.0,1399.0,68.1,5.0,12,10000.0
10,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,manual,Second Owner,19.01,1461.0,108.45,5.0,11,26301.946344029457
11,Maruti Zen LX,2005,92000,100000,Petrol,Individual,manual,Second Owner,17.3,993.0,60.0,5.0,20,5317.9190751445085
12,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,manual,Second Owner,19.3,1248.0,73.9,5.0,16,14507.772020725388
13,Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,manual,Second Owner,19.41878335651954,,,,18,10299.306415242192
14,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,manual,Second Owner,18.9,1061.0,67.0,5.0,16,9523.809523809525
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,manual,First Owner,18.15,1198.0,82.0,5.0,9,22038.56749311295
16,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,manual,Second Owner,24.52,1248.0,88.5,7.0,9,31729.200652528547
17,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,manual,Second Owner,23.0,1396.0,90.0,5.0,13,21739.130434782608
18,Maruti Alto LX,2002,150000,80000,Petrol,Individual,manual,Second Owner,19.7,796.0,46.3,5.0,23,7614.213197969543
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,manual,First Owner,22.54,1396.0,88.73,5.0,9,30168.589174800356
20,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,manual,Second Owner,21.0,1461.0,64.1,5.0,14,8285.714285714286
